=== 电子病历明细(已排除'未开展相关业务') ===
机构数: 243  有效表: 6957  中断表: 5414
列: 等级 | 机构 | 上传(正常+延迟) | 中断 | 有效 | 中断占比


### 三级(8 家)
  1. 临沂市精神卫生中心（临沂市第四人民医院）             上传  11(11正+0延) | 中断  20 | 有效  31 | 64.5%
  2. 平邑县中医医院                          上传  19(19正+0延) | 中断  12 | 有效  31 | 38.7%
  3. 临沂市妇幼保健院                         上传  21(21正+0延) | 中断  10 | 有效  31 | 32.3%
  4. 临沂市中医医院                          上传  22(22正+0延) | 中断   9 | 有效  31 | 29.0%
  5. 沂南县妇幼保健院                         上传  24(24正+0延) | 中断   7 | 有效  31 | 22.6%
  6. 临沂市人民医院                          上传  25(25正+0延) | 中断   6 | 有效  31 | 19.4%
  7. 临沂市肿瘤医院                          上传  26(26正+0延) | 中断   5 | 有效  31 | 16.1%
  8. 临沂市中心医院                          上传  28(28正+0延) | 中断   3 | 有效  31 | 9.7%

### 二级(38 家)
  1. 临沂市荣军医院                          上传   0(0正+0延) | 中断  31 | 有效  31 | 100.0%
  2. 临沂康谷温泉疗养院                        上传   0(0正+0延) | 中断  31 | 有效  31 | 100.0%
  3. 蒙阴县中医医院                          上传   0(0正+0延) | 中断  31 | 有效  31 | 100.0%
  4. 临沂市兰山区人民医院                       上传   1(1正+0延) | 中断  30 | 有效  31 | 96.8%
  5. 兰陵县中医医院                          上传   5(5正+0延) | 中断  26 | 有效  31 | 83.9%
  6. 临沂市康复医院                          上传  12(12正+0延) | 中断  19 | 有效  31 | 61.3%
  7. 临沭县中医医院                          上传  12(12正+0延) | 中断  19 | 有效  31 | 61.3%
  8. 平邑县精神病医院（平邑县普惠养护院）               上传  12(12正+0延) | 中断  19 | 有效  31 | 61.3%
  9. 蒙阴县人民医院                          上传  13(13正+0延) | 中断  18 | 有效  31 | 58.1%
 10. 莒南县中医医院                          上传  14(14正+0延) | 中断  17 | 有效  31 | 54.8%
 11. 临沭县精神病医院                         上传  15(15正+0延) | 中断  16 | 有效  31 | 51.6%
 12. 郯城县中医医院                          上传  15(15正+0延) | 中断  16 | 有效  31 | 51.6%
 13. 沂南县中医医院                          上传  16(16正+0延) | 中断  15 | 有效  31 | 48.4%
 14. 沂水县中医医院                          上传  16(16正+0延) | 中断  15 | 有效  31 | 48.4%
 15. 临沂市河东区妇幼保健院                      上传  18(18正+0延) | 中断  13 | 有效  31 | 41.9%
 16. 临沂市兰山区精神病医院                      上传  19(19正+0延) | 中断  12 | 有效  31 | 38.7%
 17. 临沂市第三人民医院                        上传  20(20正+0延) | 中断  11 | 有效  31 | 35.5%
 18. 兰陵县妇幼保健院                         上传  20(20正+0延) | 中断  11 | 有效  31 | 35.5%
 19. 蒙阴县妇幼保健院                         上传  20(20正+0延) | 中断  11 | 有效  31 | 35.5%
 20. 临沂市兰山区中医医院                       上传  21(21正+0延) | 中断  10 | 有效  31 | 32.3%
 21. 山东医学高等专科学校附属医院（临沂市老年病医院）         上传  21(21正+0延) | 中断  10 | 有效  31 | 32.3%
 22. 平邑县妇幼保健院                         上传  21(21正+0延) | 中断  10 | 有效  31 | 32.3%
 23. 郯城县妇幼保健院                         上传  21(21正+0延) | 中断  10 | 有效  31 | 32.3%
 24. 沂水县人民医院                          上传  22(22正+0延) | 中断   9 | 有效  31 | 29.0%
 25. 沂水县妇幼保健计划生育服务中心                  上传  22(22正+0延) | 中断   9 | 有效  31 | 29.0%
 26. 沂水县马站人民医院                        上传  22(22正+0延) | 中断   9 | 有效  31 | 29.0%
 27. 费县中医医院                           上传  22(22正+0延) | 中断   9 | 有效  31 | 29.0%
 28. 费县妇幼保健院                          上传  22(22正+0延) | 中断   9 | 有效  31 | 29.0%
 29. 临沂市兰山区妇幼保健院                      上传  23(23正+0延) | 中断   8 | 有效  31 | 25.8%
 30. 临沭县人民医院                          上传  23(23正+0延) | 中断   8 | 有效  31 | 25.8%
 31. 临沭县妇幼保健院                         上传  23(23正+0延) | 中断   8 | 有效  31 | 25.8%
 32. 平邑县人民医院                          上传  23(23正+0延) | 中断   8 | 有效  31 | 25.8%
 33. 莒南县妇幼保健院                         上传  23(23正+0延) | 中断   8 | 有效  31 | 25.8%
 34. 沂南县人民医院                          上传  24(24正+0延) | 中断   7 | 有效  31 | 22.6%
 35. 郯城县第一人民医院                        上传  24(24正+0延) | 中断   7 | 有效  31 | 22.6%
 36. 兰陵县人民医院                          上传  25(25正+0延) | 中断   6 | 有效  31 | 19.4%
 37. 费县人民医院                           上传  27(27正+0延) | 中断   4 | 有效  31 | 12.9%
 38. 莒南县人民医院                          上传  30(30正+0延) | 中断   1 | 有效  31 | 3.2%

### 一级(5 家)
  1. 临沂公安医院                           上传   0(0正+0延) | 中断  31 | 有效  31 | 100.0%
  2. 临沂监狱医院                           上传   0(0正+0延) | 中断  31 | 有效  31 | 100.0%
  3. 临沂罗庄银凤陶瓷医院                       上传   0(0正+0延) | 中断  31 | 有效  31 | 100.0%
  4. 兰陵县红十字会医院                        上传   0(0正+0延) | 中断  31 | 有效  31 | 100.0%
  5. 罗庄区妇幼保健院                         上传   0(0正+0延) | 中断  31 | 有效  31 | 100.0%

### 基层(192 家)
  1. 临沂临港经济开发区团林镇卫生院                  上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
  2. 临沂临港经济开发区壮岗镇中心卫生院                上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
  3. 临沂临港经济开发区朱芦镇中心卫生院                上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
  4. 临沂市兰山区义堂中心卫生院                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
  5. 临沂市兰山区兰山街道大岭社区卫生服务中心             上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
  6. 临沂市兰山区兰山街道社区卫生服务中心               上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
  7. 临沂市兰山区半程镇卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
  8. 临沂市兰山区康复医院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
  9. 临沂市兰山区新桥镇卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 10. 临沂市兰山区朱保卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 11. 临沂市兰山区李官镇卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 12. 临沂市兰山区枣沟头中心卫生院                   上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 13. 临沂市兰山区汪沟镇卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 14. 临沂市兰山区糖尿病医院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 15. 临沂市兰山区金雀山街道社区卫生服务中心              上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 16. 临沂市兰山区马厂湖镇卫生院                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 17. 临沂市河东区九曲街道社区卫生服务中心               上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 18. 临沂市河东区八湖镇刘店子卫生院                  上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 19. 临沂市河东区八湖镇卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 20. 临沂市河东区太平街道卫生院                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 21. 临沂市河东区汤头中心卫生院                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 22. 临沂市河东区汤头街道葛沟卫生院                  上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 23. 临沂市河东区汤河镇卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 24. 临沂市河东区郑旺镇卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 25. 临沂市罗庄区褚墩中心卫生院                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 26. 临沂市罗庄区黄山镇卫生院                     上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 27. 临沂罗庄中心医院汤庄社区卫生服务中心               上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 28. 临沂高新区社区卫生服务中心                    上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 29. 临沂高新区罗西街道社区卫生服务中心                上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 30. 临沭县临沭街道卫生院                       上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 31. 临沭县大兴镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 32. 临沭县店头镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 33. 临沭县曹庄镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 34. 临沭县玉山镇中心卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 35. 临沭县玉山镇玉山卫生院                      上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 36. 临沭县石门镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
 37. 临沭县蛟龙镇卫生院                        上传   0(0正+0延) | 中断  28 | 有效  28 | 100.0%
